,price_range
0,1
1,2
2,2
3,0
4,0
5,1
6,0
7,1
8,3
9,2
10,3
11,2
12,1
13,3
14,0
15,2
16,0
17,3
18,1
19,1
20,3
21,3
22,0
23,0
24,3
25,0
26,1
27,0
28,2
29,1
30,2
31,3
32,2
33,1
34,0
35,0
36,3
37,1
38,2
39,3
40,1
41,1
42,1
43,2
44,1
45,3
46,0
47,3
48,1
49,3
50,0
51,2
52,1
53,0
54,2
55,1
56,3
57,2
58,3
59,3
60,3
61,0
62,1
63,0
64,1
65,2
66,2
67,1
68,1
69,0
70,1
71,2
72,0
73,0
74,2
75,2
76,1
77,2
78,0
79,2
80,1
81,3
82,1
83,0
84,2
85,0
86,0
87,2
88,1
89,0
90,2
91,1
92,2
93,1
94,1
95,0
96,3
97,0
98,1
99,1
100,1
101,2
102,2
103,3
104,0
105,3
106,0
107,1
108,2
109,3
110,0
111,0
112,3
113,3
114,0
115,3
116,1
117,2
118,1
119,1
120,0
121,3
122,2
123,1
124,1
125,3
126,0
127,0
128,0
129,0
130,2
131,2
132,3
133,0
134,3
135,0
136,1
137,0
138,0
139,1
140,0
141,2
142,3
143,1
144,2
145,1
146,3
147,2
148,0
149,1
150,0
151,0
152,0
153,0
154,1
155,1
156,3
157,2
158,1
159,3
160,0
161,3
162,3
163,3
164,3
165,1
166,0
167,2
168,0
169,3
170,0
171,0
172,3
173,3
174,1
175,3
176,0
177,3
178,3
179,0
180,1
181,0
182,0
183,3
184,3
185,3
186,1
187,0
188,2
189,2
190,3
191,0
192,2
193,1
194,2
195,3
196,0
197,2
198,1
199,3
200,1
201,1
202,1
203,1
204,0
205,3
206,3
207,0
208,0
209,2
210,1
211,1
212,0
213,1
214,3
215,2
216,0
217,1
218,1
219,2
220,0
221,2
222,1
223,0
224,1
225,0
226,3
227,2
228,2
229,1
230,3
231,1
232,3
233,1
234,1
235,1
236,1
237,0
238,3
239,2
240,1
241,3
242,2
243,1
244,0
245,1
246,2
247,1
248,0
249,3
250,1
251,2
252,2
253,0
254,0
255,2
256,0
257,2
258,1
259,1
260,2
261,2
262,0
263,0
264,1
265,1
266,0
267,2
268,1
269,2
270,0
271,2
272,0
273,0
274,3
275,0
276,1
277,3
278,3
279,3
280,3
281,3
282,3
283,0
284,2
285,0
286,0
287,3
288,3
289,1
290,1
291,3
292,2
293,2
294,3
295,0
296,0
297,2
298,3
299,3
300,1
301,0
302,1
303,2
304,3
305,0
306,3
307,2
308,2
309,3
310,1
311,3
312,3
313,2
314,3
315,2
316,2
317,3
318,0
319,3
320,2
321,2
322,1
323,0
324,3
325,0
326,0
327,0
328,3
329,0
330,0
331,2
332,0
333,2
334,2
335,2
336,0
337,3
338,0
339,1
340,1
341,1
342,3
343,3
344,3
345,0
346,1
347,1
348,2
349,0
350,0
351,0
352,1
353,2
354,2
355,1
356,3
357,0
358,0
359,1
360,3
361,3
362,3
363,1
364,3
365,2
366,2
367,1
368,3
369,0
370,1
371,0
372,3
373,1
374,0
375,2
376,3
377,2
378,1
379,2
380,0
381,2
382,2
383,1
384,2
385,1
386,2
387,2
388,2
389,1
390,2
391,1
392,3
393,3
394,2
395,2
396,0
397,3
398,2
399,0
400,0
401,0
402,1
403,0
404,2
405,1
406,0
407,2
408,1
409,1
410,1
411,3
412,3
413,3
414,2
415,2
416,2
417,3
418,0
419,3
420,1
421,2
422,2
423,3
424,1
425,1
426,3
427,0
428,3
429,0
430,2
431,3
432,1
433,1
434,0
435,0
436,1
437,0
438,1
439,1
440,2
441,1
442,2
443,1
444,3
445,1
446,3
447,0
448,3
449,1
450,1
451,1
452,1
453,0
454,3
455,2
456,1
457,3
458,1
459,1
460,0
461,0
462,1
463,3
464,2
465,2
466,3
467,3
468,3
469,0
470,1
471,0
472,0
473,2
474,2
475,2
476,2
477,3
478,0
479,1
480,1
481,3
482,2
483,0
484,2
485,1
486,2
487,2
488,3
489,0
490,1
491,2
492,0
493,1
494,3
495,2
496,2
497,0
498,0
499,2
500,2
501,0
502,1
503,1
504,1
505,2
506,1
507,1
508,1
509,1
510,1
511,3
512,0
513,2
514,0
515,0
516,0
517,0
518,3
519,2
520,3
521,3
522,1
523,3
524,0
525,0
526,1
527,1
528,0
529,1
530,2
531,3
532,3
533,0
534,0
535,1
536,3
537,3
538,2
539,3
540,2
541,3
542,0
543,0
544,3
545,2
546,3
547,0
548,1
549,3
550,0
551,1
552,3
553,1
554,0
555,1
556,2
557,3
558,3
559,1
560,3
561,0
562,0
563,0
564,1
565,0
566,1
567,3
568,3
569,3
570,1
571,2
572,0
573,0
574,1
575,3
576,3
577,1
578,0
579,0
580,3
581,1
582,2
583,1
584,3
585,2
586,0
587,0
588,0
589,1
590,0
591,0
592,2
593,1
594,0
595,2
596,2
597,1
598,0
599,0
600,1
601,1
602,1
603,1
604,2
605,3
606,1
607,1
608,0
609,1
610,1
611,0
612,3
613,3
614,2
615,0
616,2
617,0
618,2
619,1
620,3
621,1
622,0
623,1
624,2
625,2
626,0
627,2
628,3
629,3
630,0
631,1
632,1
633,2
634,0
635,3
636,2
637,0
638,0
639,1
640,1
641,0
642,0
643,1
644,0
645,0
646,1
647,3
648,3
649,2
650,3
651,1
652,3
653,2
654,1
655,1
656,3
657,2
658,2
659,2
660,3
661,2
662,3
663,1
664,0
665,2
666,1
667,0
668,3
669,3
670,0
671,2
672,0
673,0
674,0
675,0
676,3
677,1
678,0
679,3
680,2
681,3
682,2
683,2
684,2
685,0
686,1
687,3
688,3
689,2
690,3
691,2
692,0
693,0
694,1
695,1
696,3
697,1
698,2
699,0
700,1
701,0
702,2
703,1
704,2
705,1
706,3
707,1
708,2
709,0
710,3
711,3
712,0
713,0
714,2
715,1
716,0
717,0
718,2
719,3
720,3
721,2
722,0
723,3
724,2
725,1
726,1
727,2
728,1
729,2
730,0
731,2
732,2
733,2
734,1
735,0
736,0
737,2
738,0
739,0
740,0
741,0
742,2
743,2
744,3
745,0
746,2
747,2
748,2
749,2
750,3
751,0
752,1
753,3
754,1
755,2
756,3
757,0
758,1
759,1
760,0
761,3
762,3
763,1
764,0
765,1
766,0
767,1
768,2
769,0
770,1
771,0
772,2
773,1
774,1
775,1
776,0
777,3
778,2
779,1
780,2
781,0
782,3
783,2
784,2
785,1
786,2
787,0
788,3
789,2
790,3
791,1
792,1
793,1
794,0
795,3
796,0
797,1
798,2
799,2
800,1
801,1
802,2
803,2
804,3
805,0
806,0
807,1
808,2
809,3
810,2
811,1
812,3
813,0
814,0
815,2
816,3
817,2
818,0
819,0
820,1
821,2
822,3
823,2
824,2
825,1
826,3
827,2
828,0
829,1
830,0
831,3
832,0
833,1
834,3
835,2
836,3
837,0
838,0
839,2
840,0
841,2
842,2
843,1
844,3
845,2
846,1
847,3
848,1
849,0
850,3
851,0
852,3
853,3
854,1
855,2
856,3
857,2
858,1
859,2
860,2
861,1
862,3
863,1
864,1
865,2
866,1
867,3
868,3
869,1
870,3
871,2
872,2
873,0
874,1
875,3
876,3
877,2
878,0
879,3
880,3
881,1
882,1
883,3
884,3
885,2
886,3
887,2
888,3
889,3
890,0
891,1
892,1
893,0
894,1
895,3
896,2
897,3
898,3
899,3
900,2
901,1
902,1
903,3
904,0
905,0
906,3
907,0
908,3
909,0
910,3
911,3
912,0
913,3
914,2
915,0
916,3
917,2
918,3
919,2
920,2
921,2
922,1
923,2
924,2
925,0
926,2
927,0
928,3
929,3
930,1
931,1
932,3
933,1
934,2
935,2
936,2
937,1
938,3
939,3
940,0
941,2
942,0
943,3
944,0
945,3
946,3
947,2
948,2
949,0
950,0
951,0
952,1
953,1
954,3
955,0
956,3
957,3
958,2
959,0
960,1
961,3
962,0
963,3
